SET-LEVEL FLAGS

flag id,cruise,set,flag,explanation,created by,creation date,approved by,approved date,comment
9573,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),11,1013,KNOTTED WRACK,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 20:22:48 UTC,ryan_martin,2023-06-30 20:22:48 UTC,---
9650,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),12,1032,JONAH CRAB,calculated specimen weight is greater than expected,The calculated total specimen weight is greater than the basket weight by a different of greater than 25%,ryan_martin,2023-06-30 22:09:01 UTC,ryan_martin,2023-06-30 22:09:07 UTC,---
9656,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),12,1035,Arctic Lyre Crab/Lesser toad crab,calculated specimen weight is lower than expected,The calculated total specimen weight is less than the basket weight by a different of greater than 25%,ryan_martin,2023-06-30 22:09:08 UTC,ryan_martin,2023-06-30 22:09:11 UTC,---
9661,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),12,1021,"LONGFIN SQUID, LONGFIN INSHORE SQUID; LOLIGO",catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 22:09:11 UTC,ryan_martin,2023-06-30 22:09:15 UTC,---
9665,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),12,1018,Poraniomorpha (Poraniomorpha) hispida,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 22:09:15 UTC,ryan_martin,2023-06-30 22:09:17 UTC,---
9670,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),12,1033,Sea Anemones unidentified (Bolocera sp.),catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 22:09:22 UTC,ryan_martin,2023-06-30 22:09:24 UTC,---
9669,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),12,1029,Sea Pen (P. aculeata),catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 22:09:18 UTC,ryan_martin,2023-06-30 22:09:21 UTC,---
9749,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),13,1059,"LONGFIN SQUID, LONGFIN INSHORE SQUID; LOLIGO",catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-07-01 00:27:37 UTC,ryan_martin,2023-07-01 00:27:41 UTC,---
9758,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),13,1042,Poraniomorpha (Poraniomorpha) hispida,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-07-01 00:27:46 UTC,ryan_martin,2023-07-01 00:27:54 UTC,---
9754,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),13,1060,Sea Anemones unidentified (Bolocera sp.),catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-07-01 00:27:42 UTC,ryan_martin,2023-07-01 00:27:44 UTC,---
9757,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),13,1058,Sea Pen (P. aculeata),catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-07-01 00:27:45 UTC,ryan_martin,2023-07-01 00:27:45 UTC,---
