catch_ratio,created_at,id,is_parent,mission_number,notes,parent_catch,parent_catch_id,relative_abundance_category,relative_abundance_category_id,set_number,species,species_aphia_id,species_code,species_en,species_fr,species_scientific,species_uuid,specimen_count,unweighed_baskets
,2023-06-29 23:59:19 UTC,897,No,TEL-2023-010,,,,,,6,REDFISH UNSEPARATED,126175,23,REDFISH UNSEPARATED,Sébastes non-spécifiés (Sebastes sp.),Sebastes sp.,9c123bf6-1e90-4a49-a311-fdbb0b43a83b,,
,2023-06-30 00:02:02 UTC,904,No,TEL-2023-010,,,,,,6,GULF STREAM FLOUNDER,158791,44,GULF STREAM FLOUNDER,Turbot du Gulf Stream,Citharichthys arctifrons,0080c5dd-773b-41d9-9296-627a9774e5e3,,
,2023-06-29 23:59:48 UTC,899,No,TEL-2023-010,,,,,,6,HERRING ATLANTIC,126417,60,HERRING ATLANTIC,Hareng atlantique,Clupea harengus,5d02abb7-3748-44b9-83cf-d72cdeaa02ac,,
,2023-06-29 23:58:12 UTC,891,No,TEL-2023-010,,,,,,6,SHAD AMERICAN,158670,61,SHAD AMERICAN,Alose savoureuse,Alosa sapidissima,70a39611-09c3-4905-bcc1-c06548fbf372,,
,2023-06-29 23:59:29 UTC,898,No,TEL-2023-010,,,,,,6,SPINY DOGFISH,105923,220,SPINY DOGFISH,Aiguillat commun,Squalus acanthias,1e170cdf-4f3b-47c9-bad4-64947d79bd6c,,
,2023-06-29 23:58:02 UTC,890,No,TEL-2023-010,,,,,,6,"MONKFISH,GOOSEFISH,ANGLER",159184,400,"MONKFISH,GOOSEFISH,ANGLER",Baudroie d'Amérique,Lophius americanus,eb394776-0410-4c53-aa21-a3a4b0aba073,,
,2023-06-29 23:58:47 UTC,893,No,TEL-2023-010,,,,,,6,BUTTERFISH,159828,701,BUTTERFISH,Stromatée à fossette,Peprilus triacanthus,af1c13d6-f851-488f-bf35-e047d1a85587,,
,2023-06-30 00:00:02 UTC,900,No,TEL-2023-010,,,,,,6,Bristled longbeak shrimp,158356,2214,Bristled longbeak shrimp,Crevette - Dichelopandalus leptocerus,Dichelopandalus leptocerus,0a120f9d-714f-48bc-925f-b39b246f8f17,52,
,2023-06-30 00:00:30 UTC,901,No,TEL-2023-010,,,,,,6,Sevenspine bay shrimp,158355,2417,Sevenspine bay shrimp,Crevette grise,Crangon septemspinosa,c184ad6b-92d0-45a8-a80c-17a44235221c,7,
,2023-06-30 00:01:42 UTC,903,No,TEL-2023-010,,,,,,6,JONAH CRAB,158056,2511,JONAH CRAB,Crabe tourteau boreal,Cancer borealis,cdfcf0a9-f001-42b3-b1d4-6864a26ff297,,
