aphia_id,code,common_name_en,common_name_fr,created_at,created_by,created_by_id,id,invertebrate,is_invalid,is_new,last_modified_by,last_modified_by_id,scientific_name,shrimp,updated_at,uuid
106033,2060,Sessilia,,2023-01-30 19:24:46 UTC,,,11859,No,No,Yes,,,Sessilia,No,2023-03-07 15:22:53 UTC,753534ce-81a6-46f1-9593-5b106ffe22e0
106070,2061,ARCHAEOBALANIDAE,,2023-01-30 19:24:48 UTC,,,11860,No,No,Yes,,,Archaeobalaninae,No,2023-03-07 15:22:53 UTC,e9d6b5d8-dc49-4443-92a8-f829d6539ea4
106207,2062,Turban Barnacle,Balane turbané,2022-01-25 01:46:31 UTC,pablo,10,10665,No,No,No,pablo,10,Chirona hameri,No,2023-05-23 20:02:59 UTC,7224580f-9075-11ec-8fd9-a08cfde36583
1130,2100,SHRIMPS,Décapode non-spécifié,2020-08-13 14:04:48 UTC,,,2100,No,No,No,,,Decapoda (o.),No,2023-05-23 20:03:07 UTC,1cd82fef-3eea-497a-91e7-d5e4c0fbef20
106789,2200,Pandalid shrimp unidentified ,Crevette pandalide non-spécifié,2020-08-13 14:04:48 UTC,,,2200,No,No,No,,,Pandalidae (f.),No,2023-03-07 15:15:41 UTC,40290ef9-86fb-4cf0-a6b5-84e036fe4f86
107044,2210,Pandalid Shrimp (Pandalus sp.),Crevette (Pandalus sp.),2020-08-13 14:04:48 UTC,,,2210,No,No,No,boivinb,46,Pandalus sp.,Yes,2023-05-23 20:03:17 UTC,ea867e9b-8f06-4d9c-8b08-0cc41a9be32b
107649,2211,Northern shrimp,Crevette nordique,2020-08-13 14:04:48 UTC,,,2211,No,No,No,boivinb,46,Pandalus borealis,Yes,2023-05-23 20:03:17 UTC,249afc26-aeec-421f-a6d1-e4a61532a96e
107651,2212,"Striped Pink Shrimp, Aesop Shrimp",Crevette ésope,2020-08-13 14:04:48 UTC,,,2212,No,No,No,boivinb,46,Pandalus montagui,Yes,2023-05-23 20:03:18 UTC,31b2e6a0-c86e-40bf-88b2-15b058f18bf7
158351,2213,Similar shrimp,Crevette (A. propinqvus),2020-08-13 14:04:48 UTC,,,2213,No,No,No,boivinb,46,Atlantopandalus propinqvus,Yes,2023-05-23 20:03:18 UTC,7274fcc3-2cbf-4043-a480-348393883ea9
158356,2214,Bristled longbeak shrimp,Crevette - Dichelopandalus leptocerus,2020-08-13 14:04:48 UTC,,,2214,No,No,No,boivinb,46,Dichelopandalus leptocerus,Yes,2023-05-23 20:03:16 UTC,0a120f9d-714f-48bc-925f-b39b246f8f17
107041,2215,Dichelopandalus,,2022-12-21 01:40:14 UTC,,,11099,No,No,No,,,Dichelopandalus,No,2023-03-07 15:19:20 UTC,77768949-c9b0-41e3-b2c1-35a43736f2db
107046,2216,Plesionika,,2022-12-21 01:40:16 UTC,,,11100,No,No,No,,,Plesionika,No,2023-03-07 15:19:21 UTC,908c1296-66fd-4333-b511-bd43df840cdd
107661,2217,Golden shrimp (P. martia),Crevette (P. martia),2022-01-25 01:46:31 UTC,pablo,10,10826,No,No,No,boivinb,46,Plesionika martia,Yes,2023-05-23 20:03:19 UTC,72274048-9075-11ec-8fd9-a08cfde36583
106790,2219,Glass shrimp unidentified,Crevette Pasiphaidés non-spécifié,2020-08-13 14:04:48 UTC,,,2219,No,No,No,boivinb,46,Pasiphaeidae (f.),Yes,2023-03-07 15:15:43 UTC,88631328-7d4a-48f6-a068-e22af0692f34
107678,2220,Crimson pasiphaeid,Sivade (P. tarda),2020-08-13 14:04:48 UTC,,,2220,No,No,No,boivinb,46,Pasiphaea tarda,Yes,2023-05-23 20:03:11 UTC,eb1537a5-9fe8-41ad-9798-0209eb49261a
107676,2221,Pink glass shrimp,Sivade rose (Crevette blanche),2020-08-13 14:04:48 UTC,,,2221,No,No,No,boivinb,46,Pasiphaea multidentata,Yes,2023-05-23 20:03:11 UTC,a041bed4-9c9a-4ce1-8614-7f7505772d9f
107673,2222,Parapasiphae sulcatifrons,Parapasiphae sulcatifrons,2020-08-13 14:04:48 UTC,,,2222,No,No,No,,,Parapasiphae sulcatifrons,No,2023-03-07 15:15:44 UTC,e60a02b9-7b04-4d44-9dd5-37e91374a673
515738,2223,SERGESTES,Gamba arctique,2020-08-13 14:04:48 UTC,,,2223,No,No,No,boivinb,46,Eusergestes arcticus,Yes,2023-05-23 20:03:09 UTC,9a7184ad-6d9a-4d6f-8c03-797f4d9f0202
106784,2230,NEMATOCARINIDAE,,2023-01-30 19:24:52 UTC,,,11861,No,No,Yes,,,Nematocarcinidae,No,2023-03-07 15:22:54 UTC,66f46605-cbb0-4b6c-9de5-bb46fec6fdaf
158367,2231,rotund shrimp,crevette ronde,2023-01-30 19:24:53 UTC,,,11862,No,No,Yes,,,Nematocarcinus rotundus,No,2023-03-07 15:22:54 UTC,a5791b0b-ad56-4828-92d9-ef4ff87ed6ef
106788,2240,palaemonid shrimps,,2023-01-30 19:24:55 UTC,,,11863,No,No,Yes,,,Palaemonidae,No,2023-03-07 15:22:54 UTC,c5e05ed2-34dd-451b-bf92-52c0ab16109f
932406,2245,"COMMON SHORE SHRIMP,COMMON PRAWN; PALAEMONETES",,2023-01-30 19:24:56 UTC,,,11864,No,No,Yes,,,Palaemon vulgaris,No,2023-03-07 15:22:54 UTC,d9a54d25-119d-4564-8f81-d12a80b8365d
106777,2300,Hippolytidae unidentified,Hippolytidae non-spécifié,2020-08-13 14:04:48 UTC,,,2300,No,No,No,,,Hippolytidae (f.),No,2023-03-07 15:15:44 UTC,e3ecfd2b-a014-47ec-b16a-1bfe2c7596ae
158361,2309,EEL GRASS SHRIMP,,2023-01-30 19:24:58 UTC,,,11865,No,No,Yes,,,Hippolyte zostericola,No,2023-03-07 15:22:55 UTC,55fdf127-ecb1-48f7-884a-4fc3830a1d38
106994,2310,Blade Shrimp unidentified (Spirontocaris sp.),Bouc (Spirontocaris sp.),2020-08-13 14:04:48 UTC,,,2310,No,No,No,boivinb,46,Spirontocaris sp.,Yes,2023-05-24 17:44:28 UTC,c065536d-cbf8-49ae-8716-c02eb2d8b680
107521,2312,"Polar Lebbeid, Polar Shrimp",Bouc (L. polaris),2020-08-13 14:04:48 UTC,,,2312,No,No,No,boivinb,46,Lebbeus polaris,Yes,2023-05-23 20:03:16 UTC,472501ff-d0f2-48eb-86c0-7e9bdc807b7b
107531,2313,Friendly Blade Shrimp,Bouc épineux (S. lilljeborgii),2020-08-13 14:04:48 UTC,,,2313,No,No,No,boivinb,46,Spirontocaris liljeborgii,Yes,2023-05-23 20:03:15 UTC,13e038be-5201-4839-a7d8-6731bbfffb5a
107532,2315,Punctate bladed shrimp,Bouc (S. phippsii),2020-08-13 14:04:48 UTC,,,2315,No,No,No,boivinb,46,Spirontocaris phippsii,Yes,2023-05-23 20:03:15 UTC,8691645b-a161-452a-a1f3-11c8d2d653df
107533,2316,"Parrot Shrimp, Parrot Bladed Shrimp",Bouc perroquet (S. spinus),2020-08-13 14:04:48 UTC,,,2316,No,No,No,boivinb,46,Spirontocaris spinus,Yes,2023-05-23 20:03:14 UTC,e5def33e-fbd8-4a03-86af-c1da94563897
