basket_wt_kg,catch_id,creation_date,id,last_modified_date,mission_number,sampled,set_number,size_class,size_class_display,species_aphia_id,species_code,species_en,species_fr,species_scientific,species_uuid
0.006,868,2023-06-29 15:48:55 UTC,908,2023-06-29 15:48:55 UTC,TEL-2023-010,Yes,4,1,1,126352,712,WHITE BARRACUDINA; NOTOLEPIS RISSOI,Lussion blanc,Arctozenus risso,2f9622a3-854c-48a5-82e6-ee88d3fce959
0.024,862,2023-06-29 15:42:42 UTC,902,2023-06-29 15:42:42 UTC,TEL-2023-010,No,4,1,1,158356,2214,Bristled longbeak shrimp,Crevette - Dichelopandalus leptocerus,Dichelopandalus leptocerus,0a120f9d-714f-48bc-925f-b39b246f8f17
0.002,869,2023-06-29 15:49:29 UTC,909,2023-06-29 15:49:29 UTC,TEL-2023-010,Yes,4,1,1,158057,2513,ATLANTIC ROCK CRAB,Crabe commun,Cancer irroratus,4574f6e8-f64f-4392-b7a5-acb3d572fa19
0.139,863,2023-06-29 15:43:47 UTC,903,2023-06-29 15:43:47 UTC,TEL-2023-010,No,4,1,1,11725,4536,BOBTAIL SQUID; SEPIOLODAE,Sepiolidae non-spécifié,Sepiolidae (f.),2d243cc2-5f7c-4dfe-94a6-d6341b770eaf
0.041,864,2023-06-29 15:44:20 UTC,904,2023-06-29 15:44:20 UTC,TEL-2023-010,No,4,1,1,123915,6115,MUD STAR,Étoile de mer (C. crispatus),Ctenodiscus crispatus,09d8152f-17d3-4565-8684-4691d258f4f3
2.53,877,2023-06-29 20:58:39 UTC,921,2023-06-29 20:58:39 UTC,TEL-2023-010,Yes,5,1,1,126437,11,HADDOCK,Aiglefin,Melanogrammus aeglefinus,2a595a64-620c-4678-838e-d69cc81ffecd
0.89,879,2023-06-29 20:58:59 UTC,923,2023-06-29 20:58:59 UTC,TEL-2023-010,Yes,5,1,1,126503,13,SQUIRREL OR RED HAKE,Merluche-écureuil,Urophycis chuss,5976e380-8d3d-4038-8806-83434953a43a
15.17,880,2023-06-29 20:59:11 UTC,924,2023-06-29 20:59:11 UTC,TEL-2023-010,Yes,5,1,1,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7
8.52,880,2023-06-29 21:00:16 UTC,927,2023-06-29 21:29:25 UTC,TEL-2023-010,Yes,5,1,1,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7
10.58,880,2023-06-29 20:59:50 UTC,925,2023-06-29 20:59:50 UTC,TEL-2023-010,No,5,1,1,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7
16.61111111111111,880,2023-06-29 21:00:10 UTC,926,2023-06-29 21:00:10 UTC,TEL-2023-010,No,5,1,1,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7
7.94,880,2023-06-29 21:00:23 UTC,928,2023-06-29 21:00:23 UTC,TEL-2023-010,No,5,1,1,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7
8.83,880,2023-06-29 21:00:29 UTC,929,2023-06-29 21:00:29 UTC,TEL-2023-010,No,5,1,1,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7
16.27,872,2023-06-29 20:56:55 UTC,915,2023-06-29 20:56:55 UTC,TEL-2023-010,Yes,5,1,1,126175,23,REDFISH UNSEPARATED,Sébastes non-spécifiés (Sebastes sp.),Sebastes sp.,9c123bf6-1e90-4a49-a311-fdbb0b43a83b
7.07,872,2023-06-29 20:57:02 UTC,916,2023-06-29 20:57:02 UTC,TEL-2023-010,Yes,5,1,1,126175,23,REDFISH UNSEPARATED,Sébastes non-spécifiés (Sebastes sp.),Sebastes sp.,9c123bf6-1e90-4a49-a311-fdbb0b43a83b
7.54,876,2023-06-29 20:58:28 UTC,920,2023-06-29 20:58:28 UTC,TEL-2023-010,Yes,5,1,1,126417,60,HERRING ATLANTIC,Hareng atlantique,Clupea harengus,5d02abb7-3748-44b9-83cf-d72cdeaa02ac
2.47,874,2023-06-29 20:57:21 UTC,918,2023-06-29 20:57:21 UTC,TEL-2023-010,Yes,5,1,1,158670,61,SHAD AMERICAN,Alose savoureuse,Alosa sapidissima,70a39611-09c3-4905-bcc1-c06548fbf372
