# Constructed from biom file
#OTU ID	SAB_1	SAB_10	SAB_11	SAB_12	SAB_13	SAB_14	SAB_15	SAB_16	SAB_17	SAB_18	SAB_19	SAB_2	SAB_20	SAB_21	SAB_22	SAB_23	SAB_24	SAB_25	SAB_26	SAB_27	SAB_28	SAB_29	SAB_3	SAB_30	SAB_4	SAB_5	SAB_6	SAB_7	SAB_8	SAB_9
780fbfb4d26ed773140acf6063462754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2549.0	3132.0	2306.0	0.0	6997.0	2047.0	3072.0	4146.0	2550.0	3051.0	0.0	3969.0	4739.0	3245.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fa751b184198a7be6ba80f44260088f3	23.0	4126.0	4552.0	0.0	2281.0	1795.0	1371.0	0.0	763.0	1024.0	510.0	32.0	577.0	313.0	575.0	2206.0	1035.0	1074.0	0.0	857.0	320.0	492.0	0.0	0.0	0.0	4130.0	6242.0	3118.0	0.0	4228.0
760d2599bd9b9aa9025694835b647ce8	257.0	2390.0	1072.0	0.0	1461.0	2695.0	5296.0	0.0	1587.0	1090.0	1228.0	112.0	354.0	1060.0	1436.0	1945.0	2189.0	1699.0	0.0	851.0	1319.0	555.0	381.0	0.0	0.0	4098.0	1920.0	1763.0	0.0	2159.0
8050a9749f3ab5178821f67417c3795c	1339.0	901.0	613.0	0.0	949.0	1688.0	740.0	0.0	2355.0	2533.0	2672.0	278.0	2464.0	1578.0	2457.0	2750.0	2297.0	2995.0	0.0	2762.0	2064.0	1860.0	529.0	0.0	0.0	739.0	803.0	602.0	0.0	787.0
1acb196e92e42aab821f3aebbb973ffe	1971.0	985.0	973.0	0.0	879.0	2970.0	674.0	0.0	2284.0	3610.0	2488.0	332.0	3040.0	1506.0	1687.0	2854.0	1536.0	1206.0	0.0	2868.0	1334.0	3001.0	529.0	0.0	0.0	205.0	433.0	433.0	0.0	846.0
e24f1d8333f088d4388ccbb94bd8a513	6488.0	1449.0	1410.0	0.0	3548.0	4662.0	2067.0	0.0	704.0	1045.0	631.0	4485.0	431.0	539.0	604.0	915.0	598.0	394.0	0.0	878.0	358.0	683.0	2558.0	5.0	0.0	582.0	739.0	765.0	0.0	1088.0
0e49c73f7d13c64f88dad66d28629753	2416.0	804.0	516.0	0.0	1083.0	2467.0	1061.0	0.0	1655.0	2036.0	1444.0	1257.0	700.0	940.0	2111.0	3488.0	3096.0	2634.0	0.0	884.0	930.0	519.0	1958.0	7.0	0.0	1461.0	977.0	772.0	0.0	1103.0
453a9b41c19baf49e1874a3b297e61df	9320.0	1269.0	1801.0	0.0	2972.0	5549.0	1530.0	0.0	379.0	1050.0	265.0	984.0	2894.0	186.0	413.0	1085.0	290.0	352.0	0.0	600.0	298.0	507.0	2537.0	0.0	0.0	261.0	435.0	465.0	0.0	816.0
24950af82cf6eba348d54e1efb57b8bd	171.0	2692.0	2660.0	0.0	1658.0	1516.0	1203.0	0.0	889.0	1229.0	914.0	110.0	1314.0	873.0	1453.0	458.0	1603.0	1961.0	0.0	600.0	1521.0	1110.0	150.0	0.0	0.0	2118.0	3055.0	3600.0	0.0	2784.0
d76f0c146469fe8fbe4fb675202334b8	648.0	1863.0	2561.0	0.0	3678.0	6315.0	2260.0	0.0	426.0	856.0	516.0	327.0	369.0	293.0	636.0	2050.0	1303.0	1133.0	0.0	820.0	576.0	410.0	314.0	0.0	0.0	863.0	2839.0	1558.0	0.0	2403.0
10ea78dde59862d329850e67632b6b91	1734.0	686.0	1312.0	0.0	3839.0	3002.0	3746.0	0.0	690.0	1535.0	616.0	3670.0	727.0	448.0	661.0	1405.0	479.0	590.0	0.0	924.0	437.0	538.0	1512.0	0.0	0.0	3540.0	1283.0	862.0	0.0	527.0
039ae45059bf71f9e300eff977b82bc3	0.0	2348.0	3011.0	0.0	1472.0	1444.0	998.0	0.0	795.0	884.0	712.0	0.0	1020.0	382.0	730.0	2147.0	1408.0	1286.0	0.0	1731.0	707.0	976.0	0.0	0.0	0.0	2715.0	4772.0	1524.0	0.0	2994.0
6ce6e67464b71a1f72386c9250bdf679	88.0	1949.0	1869.0	0.0	1194.0	964.0	862.0	0.0	1480.0	2068.0	1505.0	71.0	1731.0	1046.0	2114.0	764.0	1883.0	2194.0	0.0	807.0	1675.0	1431.0	81.0	0.0	0.0	1773.0	1991.0	2309.0	0.0	1950.0
